Area,Element Code
Afghanistan,5419
Albania,5419
Algeria,5419
American Samoa,5419
Angola,5419
Antigua and Barbuda,5419
Argentina,5419
Armenia,5419
Australia,5419
Austria,5419
Azerbaijan,5419
Bahamas,5419
Bahrain,5419
Bangladesh,5419
Barbados,5419
Belarus,5419
Belgium,5419
Belgium-Luxembourg,5419
Belize,5419
Benin,5419
Bermuda,5419
Bhutan,5419
Bolivia (Plurinational State of),5419
Bosnia and Herzegovina,5419
Botswana,5419
Brazil,5419
Brunei Darussalam,5419
Bulgaria,5419
Burkina Faso,5419
Burundi,5419
Cabo Verde,5419
Cambodia,5419
Cameroon,5419
Canada,5419
Cayman Islands,5419
Central African Republic,5419
Chad,5419
Chile,5419
China,5419
"China, Hong Kong SAR",5419
"China, mainland",5419
"China, Taiwan Province of",5419
Colombia,5419
Comoros,5419
Congo,5419
Cook Islands,5419
Costa Rica,5419
Côte d'Ivoire,5419
Croatia,5419
Cuba,5419
Cyprus,5419
Czechia,5419
Czechoslovakia,5419
Democratic People's Republic of Korea,5419
Democratic Republic of the Congo,5419
Denmark,5419
Djibouti,5419
Dominica,5419
Dominican Republic,5419
Ecuador,5419
Egypt,5419
El Salvador,5419
Equatorial Guinea,5419
Eritrea,5419
Estonia,5419
Ethiopia,5419
Ethiopia PDR,5419
Faroe Islands,5419
Fiji,5419
Finland,5419
France,5419
French Guiana,5419
French Polynesia,5419
Gabon,5419
Gambia,5419
Georgia,5419
Germany,5419
Ghana,5419
Greece,5419
Grenada,5419
Guadeloupe,5419
Guam,5419
Guatemala,5419
Guinea,5419
Guinea-Bissau,5419
Guyana,5419
Haiti,5419
Honduras,5419
Hungary,5419
Iceland,5419
India,5419
Indonesia,5419
Iran (Islamic Republic of),5419
Iraq,5419
Ireland,5419
Israel,5419
Italy,5419
Jamaica,5419
Japan,5419
Jordan,5419
Kazakhstan,5419
Kenya,5419
Kuwait,5419
Kyrgyzstan,5419
Lao People's Democratic Republic,5419
Latvia,5419
Lebanon,5419
Lesotho,5419
Liberia,5419
Libya,5419
Lithuania,5419
Luxembourg,5419
Madagascar,5419
Malawi,5419
Malaysia,5419
Maldives,5419
Mali,5419
Malta,5419
Martinique,5419
Mauritania,5419
Mauritius,5419
Mexico,5419
Micronesia (Federated States of),5419
Mongolia,5419
Montenegro,5419
Montserrat,5419
Morocco,5419
Mozambique,5419
Myanmar,5419
Namibia,5419
Nepal,5419
Netherlands,5419
New Caledonia,5419
New Zealand,5419
Nicaragua,5419
Niger,5419
Nigeria,5419
Niue,5419
Norway,5419
Occupied Palestinian Territory,5419
Oman,5419
Pacific Islands Trust Territory,5419
Pakistan,5419
Panama,5419
Papua New Guinea,5419
Paraguay,5419
Peru,5419
Philippines,5419
Poland,5419
Portugal,5419
Puerto Rico,5419
Qatar,5419
Republic of Korea,5419
Republic of Moldova,5419
Réunion,5419
Romania,5419
Russian Federation,5419
Rwanda,5419
Saint Kitts and Nevis,5419
Saint Lucia,5419
Saint Vincent and the Grenadines,5419
Samoa,5419
Sao Tome and Principe,5419
Saudi Arabia,5419
Senegal,5419
Serbia,5419
Serbia and Montenegro,5419
Seychelles,5419
Sierra Leone,5419
Singapore,5419
Slovakia,5419
Slovenia,5419
Solomon Islands,5419
Somalia,5419
South Africa,5419
South Sudan,5419
Spain,5419
Sri Lanka,5419
Sudan,5419
Sudan (former),5419
Suriname,5419
Eswatini,5419
Sweden,5419
Switzerland,5419
Syrian Arab Republic,5419
Tajikistan,5419
Thailand,5419
The former Yugoslav Republic of Macedonia,5419
Timor-Leste,5419
Togo,5419
Tonga,5419
Trinidad and Tobago,5419
Tunisia,5419
Turkey,5419
Turkmenistan,5419
Uganda,5419
Ukraine,5419
United Arab Emirates,5419
United Kingdom,5419
United Republic of Tanzania,5419
United States of America,5419
Uruguay,5419
USSR,5419
Uzbekistan,5419
Vanuatu,5419
Venezuela (Bolivarian Republic of),5419
Viet Nam,5419
Wallis and Futuna Islands,5419
Yemen,5419
Yugoslav SFR,5419
Zambia,5419
Zimbabwe,5419
